station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,anomaly,anomaly_score,is_anomaly,PC1,PC2
OOA,2026-01-09 02:15,56.0,49.6,79.05,230.0,26.0,0.0,29.28,M,10.0,35.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,56.0,KOOA 090215Z AUTO 23026G35KT 10SM CLR 13/10 A2928 RMK AO2 T01340098,M,-1,-0.6385565970608926,1,3.7427548918740454,3.0093693178852647
OOA,2026-01-09 00:35,57.7,56.7,96.46,180.0,16.0,0.0,29.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.7,KOOA 090035Z AUTO 18016KT 10SM CLR 14/14 A2926 RMK AO2 T01430137,M,-1,-0.6315441453552793,1,4.560734570992812,1.2983645154828187
OOA,2026-01-08 23:55,58.0,57.2,97.16,180.0,15.0,0.0,29.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,58.0,KOOA 082355Z AUTO 18015KT 10SM CLR 15/14 A2926 RMK AO2 60066 T01450140 10147 20096,M,-1,-0.6284415844193602,1,4.60873190275469,1.1738596364958973
OOA,2026-01-24 14:55,-1.7,-11.6,61.87,90.0,5.0,0.0,30.67,M,4.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-13.63,KOOA 241455Z AUTO 09005KT 4SM CLR M19/M24 A3067 RMK AO2 T11871242,M,-1,-0.6245272623487023,1,-2.3449675890744346,-2.3302949059326625
OOA,2026-01-24 19:15,4.5,-3.3,69.42,0.0,0.0,0.0,30.55,M,3.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,4.5,KOOA 241915Z AUTO 00000KT 3SM CLR M15/M20 A3055 RMK AO2 T11531196,M,-1,-0.6192358196087215,1,-1.2880383800067292,-3.4401431102162103
OOA,2026-01-24 15:15,-1.3,-10.3,64.75,90.0,6.0,0.0,30.66,M,3.0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-14.58,KOOA 241515Z AUTO 09006KT 3SM M18/M23 A3066 RMK AO2 SKY OBSCURED T11851235,M,-1,-0.6189183686836961,1,-2.0900889542208962,-2.3493501897010427
OOA,2026-01-21 22:35,42.0,16.7,35.55,290.0,34.0,0.0,29.94,M,7.0,43.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.81,KOOA 212235Z AUTO 29034G43KT 7SM CLR 06/M08 A2994 RMK AO2 T00561085,M,-1,-0.6187684710978928,1,0.2202232482806396,4.115797795783815
OOA,2026-01-09 02:35,54.0,48.6,81.9,230.0,23.0,0.0,29.29,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.0,KOOA 090235Z AUTO 23023KT 10SM CLR 12/09 A2929 RMK AO2 T01230092,M,-1,-0.6173481757249375,1,3.7021896630207576,2.5601191982514626
OOA,2026-01-08 21:55,54.0,53.2,97.11,160.0,9.0,0.0,29.29,M,5.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.0,KOOA 082155Z AUTO 16009KT 5SM CLR 12/12 A2929 RMK AO2 T01230118,M,-1,-0.6169348515048484,1,4.8706314956994206,-0.21845859574716747
OOA,2026-01-24 15:55,-0.6,-9.8,64.21,80.0,3.0,0.0,30.66,M,5.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-8.58,KOOA 241555Z AUTO 08003KT 5SM CLR M18/M23 A3066 RMK AO2 T11811232,M,-1,-0.6162497224103233,1,-2.271992474984711,-2.53610180404644
OOA,2026-01-09 02:55,47.0,44.8,92.0,270.0,23.0,0.0,29.33,M,7.0,29.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,38.48,KOOA 090255Z AUTO 27023G29KT 7SM CLR 08/07 A2933 RMK AO2 T00830071,M,-1,-0.6161918002295956,1,3.828521414883568,2.1336144543113136
OOA,2026-01-08 21:35,53.6,52.7,96.75,170.0,11.0,0.0,29.31,M,5.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.6,KOOA 082135Z AUTO 17011KT 5SM CLR 12/12 A2931 RMK AO2 T01200115,M,-1,-0.6149771354591907,1,4.785568410879444,0.057445523208413264
OOA,2026-01-24 16:35,0.3,-8.3,66.26,120.0,5.0,0.0,30.65,M,4.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-11.25,KOOA 241635Z AUTO 12005KT 4SM CLR M18/M22 A3065 RMK AO2 T11761224,M,-1,-0.6139729090424206,1,-2.033976735983046,-2.203145756290377
OOA,2026-01-08 21:15,52.3,51.8,98.17,160.0,11.0,0.0,29.32,M,4.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.3,KOOA 082115Z AUTO 16011KT 4SM CLR 11/11 A2932 RMK AO2 T01130110,M,-1,-0.6137581905582178,1,4.844024675417904,-0.14952553027421364
OOA,2026-01-09 00:15,58.0,57.0,96.47,190.0,12.0,0.0,29.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,58.0,KOOA 090015Z AUTO 19012KT 10SM CLR 14/14 A2926 RMK AO2 T01440139,M,-1,-0.613685713097807,1,4.590708144991524,0.8859128170270735
OOA,2026-01-21 22:55,40.5,18.5,40.72,300.0,34.0,0.0,29.97,M,7.0,42.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.73,KOOA 212255Z AUTO 30034G42KT 7SM CLR 05/M07 A2997 RMK AO2 T00471075,M,-1,-0.6108045158992149,1,0.300753304229718,4.036686072395453
OOA,2026-01-24 16:15,-0.2,-9.0,65.54,80.0,4.0,0.0,30.65,M,5.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-10.18,KOOA 241615Z AUTO 08004KT 5SM CLR M18/M23 A3065 RMK AO2 T11791227,M,-1,-0.6104605537190111,1,-2.184401421509172,-2.4295480695038245
OOA,2026-01-24 15:35,-1.3,-10.0,65.72,90.0,6.0,0.0,30.66,M,4.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-14.58,KOOA 241535Z AUTO 09006KT 4SM CLR M18/M23 A3066 RMK AO2 T11851233,M,-1,-0.6103453837300588,1,-2.168221231799147,-2.2695151651122756
OOA,2026-01-09 08:55,39.6,39.4,99.22,300.0,24.0,0.01,29.7,M,4.0,29.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.31,KOOA 090855Z AUTO 30024G29KT 4SM CLR 04/04 A2970 RMK AO2 P0001 60002 T00420041,M,-1,-0.6090965797954753,1,3.373778731400917,1.5979842200523753
